,PlaceName,Settlement,Region,Country,helper,latitude,longitude
0,Albi,Albi,Tarn,France,Albi Tarn France,43.9277552,2.147899
1,Moulins,Moulins,Allier,France,Moulins Allier France,46.5660526,3.3331703
2,Saint-Flour,Saint-Flour,Cantal,France,Saint-Flour Cantal France,45.0334949,3.0931009
3,Tutbury,Tutbury,Staffordshire,England,Tutbury Staffordshire England,52.8571884,-1.6846857
4,Rome,Rome,Lazio,Italie,Rome Lazio Italie,41.8933203,12.4829321
5,Autun,Autun,Saône-et-Loire,France,Autun Saône-et-Loire France,46.9510313,4.2989478
6,Dijon,Dijon,Côte-d'Or,France,Dijon Côte-d'Or France,47.3215806,5.0414701
7,Souvigny,Souvigny,Allier,France,Souvigny Allier France,46.5345119,3.1947101
8,Riom,Riom,Puy-de-Dôme,France,Riom Puy-de-Dôme France,45.893068,3.1136667
9,Montbrison,Montbrison,Loire,France,Montbrison Loire France,45.6072875,4.0627318
10,Lyon,Lyon,Rhône,France,Lyon Rhône France,45.7578137,4.8320114
11,Saint-Bonnet-près-Riom,Saint-Bonnet-près-Riom,Puy-de-Dôme,France,Saint-Bonnet-près-Riom Puy-de-Dôme France,45.9306,3.1139
12,Gannat,Gannat,Allier,France,Gannat Allier France,46.0996068,3.1995251
13,La Charité-sur-Loire,La Charité-sur-Loire,Nièvre,France,La Charité-sur-Loire Nièvre France,47.1793255,3.0185784
14,Villefranche-sur-Saône,Villefranche-sur-Saône,Rhône,France,Villefranche-sur-Saône Rhône France,45.9864749,4.726611
15,Chinon,Chinon,Indre-et-Loire,France,Chinon Indre-et-Loire France,47.1667182,0.2402095
16,Vichy,Vichy,Allier,France,Vichy Allier France,46.1239268,3.4203712
17,Bourbon-l'Archambault,Bourbon-l'Archambault,Allier,France,Bourbon-l'Archambault Allier France,46.5857669,3.05804
18,Montluçon,Montluçon,Allier,France,Montluçon Allier France,46.3399276,2.6067229
19,Beaujeu,Beaujeu,Allier,France,Beaujeu Allier France,46.56717035,3.3300616836759867
20,Hérisson,Hérisson,Allier,France,Hérisson Allier France,46.5082,2.71241
21,Saint-Pourçain-sur-Sioule,Saint-Pourçain-sur-Sioule,Allier,France,Saint-Pourçain-sur-Sioule Allier France,46.3074423,3.2899107
22,Vinzelles (La),Vinzelles (La),Puy-de-Dôme,France,Vinzelles (La) Puy-de-Dôme France,45.9258481,3.3969277
23,Calvinet,Calvinet,Cantal,France,Calvinet Cantal France,44.7203485,2.3624573672377416
24,Issoire,Issoire,Puy-de-Dôme,France,Issoire Puy-de-Dôme France,45.5432973,3.2502213
